Timestamp,Cell 1 Current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 6 Current,Cell 6 Voltage,Cell6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 8 Current,Cell 8 Voltage,Cell8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage
09-27-2025-Sat 11-56-02-AM,-0.1,0.864,-0.2,0.948,22.5565,-0.3,0.74,-0.5,1.14,22.6581,-0.3,1.28,-0.5,1.24,22.1171,-0.4,1.012,0.1,0.58,22.5227,0.1,1.028,21.5091,0.0,0.596,-0.2,0.54,21.543,-0.2,0.58,-0.2,0.632,21.3059,-0.1,0.548,-0.3,0.752,21.576,-0.2,1.136
09-27-2025-Sat 11-56-04-AM,-0.2,0.86,-0.2,0.928,22.4549,0.0,0.724,-0.7,1.1,22.5904,-0.3,1.256,-0.2,1.208,22.1171,-0.3,0.996,-0.2,0.576,22.5227,-0.2,1.012,21.4752,0.2,0.588,-0.2,0.536,21.543,-0.4,0.576,-0.1,0.624,21.3059,-0.2,0.548,-0.2,0.744,21.576,-0.2,1.12
09-27-2025-Sat 11-56-07-AM,-0.2,0.848,-0.5,0.908,22.4549,-0.5,0.712,-0.3,1.068,22.5904,-0.3,1.232,-0.1,1.176,22.151,-0.3,0.988,0.1,0.572,22.5227,0.0,1.0,21.4752,0.1,0.584,-0.2,0.528,21.543,-0.2,0.572,-0.3,0.62,21.3059,-0.4,0.548,-0.1,0.74,21.576,-0.3,1.104
09-27-2025-Sat 11-56-09-AM,-0.1,0.84,-0.2,0.892,22.4211,-0.2,0.7,-0.2,1.048,22.5904,0.0,1.216,0.1,1.148,22.1171,-0.1,0.972,0.3,0.564,22.4888,0.0,0.988,21.5091,-0.1,0.58,-0.2,0.528,21.5091,-0.1,0.568,-0.4,0.616,21.272,0.0,0.544,-0.4,0.74,21.576,-0.1,1.088
09-27-2025-Sat 11-56-11-AM,-0.6,0.832,0.0,0.876,22.4549,-0.1,0.684,-0.5,1.024,22.5565,-0.3,1.204,-0.1,1.128,22.151,-0.1,0.96,-0.1,0.56,22.5227,-0.1,0.972,21.4752,-0.1,0.576,-0.2,0.52,21.543,0.0,0.56,-0.2,0.612,21.3059,-0.2,0.544,-0.3,0.736,21.543,-0.2,1.076
09-27-2025-Sat 11-56-14-AM,-0.1,0.828,-0.1,0.864,22.4211,-0.2,0.68,-0.5,1.004,22.5904,-0.1,1.192,-0.1,1.112,22.1171,-0.2,0.952,0.3,0.556,22.4888,0.0,0.964,21.4752,-0.1,0.572,-0.1,0.52,21.543,-0.3,0.564,-0.3,0.612,21.272,-0.2,0.544,-0.3,0.732,21.543,-0.4,1.06
09-27-2025-Sat 11-56-16-AM,-0.2,0.82,-0.5,0.852,22.4211,-0.3,0.672,-0.2,0.984,22.5565,0.0,1.184,-0.2,1.088,22.1171,-0.3,0.943999,-0.1,0.552,22.4888,0.1,0.956,21.4414,-0.1,0.564,-0.3,0.516,21.5091,-0.2,0.56,-0.2,0.604,21.3059,-0.1,0.548,-0.4,0.732,21.576,0.0,1.044
09-27-2025-Sat 11-56-18-AM,0.0,0.816,-0.3,0.844,22.4211,-0.2,0.66,-0.3,0.964,22.6243,-0.3,1.172,-0.1,1.072,22.0832,-0.1,0.932,-0.2,0.548,22.4549,-0.1,0.943999,21.4414,0.1,0.56,-0.3,0.516,21.5091,-0.1,0.552,-0.1,0.604,21.272,0.1,0.544,-0.4,0.732,21.5091,-0.2,1.036
09-27-2025-Sat 11-56-21-AM,-0.3,0.808,-0.2,0.836,22.4549,-0.2,0.656,-0.1,0.94,22.5227,-0.2,1.164,0.1,1.056,22.1171,-0.2,0.932,0.0,0.544,22.4549,0.1,0.936,21.4414,-0.4,0.56,-0.1,0.508,21.5091,-0.3,0.552,-0.2,0.6,21.272,-0.2,0.544,-0.3,0.728,21.5091,-0.2,1.02
09-27-2025-Sat 11-56-23-AM,-0.3,0.808,-0.4,0.824,22.3542,-0.1,0.644,-0.2,0.916,22.4888,0.0,1.156,-0.4,1.044,22.0832,-0.5,0.92,0.0,0.544,22.4549,0.0,0.932,21.4075,-0.1,0.556,-0.3,0.508,21.4752,0.0,0.548,0.0,0.596,21.272,-0.2,0.544,-0.1,0.732,21.5091,-0.3,1.012
