Timestamp,Cell 1 Current,Cell 1 current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temperature,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temperature,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temperature,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp (SENSOR Failed),Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
,,,,,,10.8138,,,,,,12.1951,,,,,,13.4086,,,,,,11.5218,48.9,5.712,,49,5.716,5.66454,52.2,5.712,,51.4,5.74,101.567,40.4,5.7,,43.1,5.736,10.6122,40.2,5.696,,41.3,5.704,11.117
,,,,,,10.8477,,,,,,12.162,,,,,,13.4425,,,,,,11.4541,48.6,5.712,,48.8,5.716,5.73146,52.2,5.72,,51.1,5.744,117.076,40.4,5.704,,42.8,5.74,10.8138,40.2,5.696,,41,5.7,11.117
,,,,,,10.8138,,,,,,12.0943,,,,,,13.3748,,,,,,11.3863,49.2,5.748,,49.3,5.756,5.66454,52.6,5.752,,51.8,5.776,115.581,40.9,5.736,,43,5.772,10.8477,40.3,5.732,,41.3,5.736,11.1509
,,,,,,10.2075,,,,,,11.5548,,,,,,12.7007,,,,,,10.7808,49.3,5.716,,49.3,5.72,4.99205,52.9,5.716,,51.1,5.744,106.936,40.7,5.7,,43.3,5.74,10.1067,40.4,5.696,,41.6,5.696,10.4776
,,,,,,10.1744,,,,,,11.5218,,,,,,12.7684,,,,,,10.7469,48.4,5.712,,48.3,5.72,4.92432,51.8,5.72,,50.3,5.744,94.6506,39.9,5.704,,42.7,5.74,10.1405,39.9,5.704,,40.8,5.7,10.2413
,,,,,,10.2413,,,,,,11.5218,,,,,,12.8023,,,,,,10.713,47.8,5.716,,48,5.724,4.92432,51.1,5.724,,49.8,5.748,91.2672,39.9,5.708,,42.5,5.74,10.0736,39.5,5.704,,40.2,5.704,10.5106
,,,,,,10.1405,,,,,,11.5548,,,,,,12.7007,,,,,,10.7808,47.7,5.72,,48.1,5.724,4.95818,51.3,5.724,,49.7,5.744,92.3719,39.5,5.704,,42.5,5.744,10.2075,39.2,5.704,,40.2,5.704,10.3421
,,,,,,10.1067,,,,,,11.3863,,,,,,12.7684,,,,,,10.6453,47.7,5.72,,47.9,5.728,4.85739,51,5.728,,49.4,5.744,104.718,39.5,5.708,,42.2,5.74,9.83735,39.2,5.704,,40.2,5.704,10.6122
,,,,,,10.1067,,,,,,11.3863,,,,,,12.5999,,,,,,10.713,47.4,5.72,,47.5,5.724,4.82352,50.8,5.724,,49.6,5.74,94.6159,39.8,5.708,,42,5.744,10.0059,39.2,5.7,,39.8,5.708,10.2413
,,,,,,10.0389,,,,,,11.4202,,,,,,12.5321,,,,,,10.5445,47.4,5.716,,47.6,5.728,4.85739,50.8,5.724,,49.9,5.744,82.4111,39.6,5.708,,42.4,5.744,9.93814,39.6,5.704,,39.9,5.704,10.2752
,,,,,,10.0736,,,,,,11.4202,,,,,,12.6329,,,,,,10.713,47.2,5.716,,47.5,5.724,4.7566,50.6,5.724,,49.8,5.748,105.757,39.5,5.708,,42.2,5.748,9.77042,39.3,5.704,,39.9,5.708,10.2413
,,,,,,9.972,,,,,,11.3194,,,,,,12.5999,,,,,,10.4098,46.9,5.72,,47.6,5.724,4.72273,50.5,5.724,,49.7,5.744,92.6129,39.5,5.708,,42,5.748,9.73574,39.2,5.704,,39.8,5.708,10.2413
,,,,,,9.93814,,,,,,11.2855,,,,,,12.4652,,,,,,10.5106,47.6,5.752,,48.1,5.756,4.58807,51.3,5.756,,50.3,5.776,110.926,40.1,5.74,,42.2,5.772,9.60189,39.5,5.736,,40.3,5.736,9.972
,,,,,,9.36563,,,,,,10.8138,,,,,,12.0274,,,,,,9.83735,47.1,5.72,,47.9,5.724,4.08411,51.3,5.724,,49.3,5.748,106.763,39.7,5.708,,42.1,5.748,9.26484,39,5.704,,39.5,5.704,9.73574
,,,,,,9.33258,,,,,,10.713,,,,,,11.9596,,,,,,9.80348,47.4,5.752,,47.8,5.756,4.11717,51.1,5.756,,49.8,5.78,81.2758,39.9,5.744,,42.6,5.776,9.16405,39.2,5.74,,40.1,5.736,9.43337
