Cell 1 Current,Cell 1 Voltage,Cell 1 Temp,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temp,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temp,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temp,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
0.1,5.964,-67.872,-0.1,5.972,-66.7265,-0.2,5.976,-70.51,0.1,5.98,-66.5623,0.0,5.976,-68.268,0.2,5.976,-62.9801,0.2,5.968,-63.451,0.2,5.972,-63.3418,0.3,5.96,-67.3504,0.2,5.968,-64.348,0.0,5.968,-65.544,0.3,5.968,-64.13,,,-63.4734,0.2,5.972,-63.012,0.1,5.956,-60.282,0.1,5.964,-62.799
0.2,5.968,-67.889,0.3,5.972,-67.2191,-0.2,5.976,-70.575,-0.3,5.98,-66.6609,0.1,5.972,-68.257,0.2,5.972,-63.8679,0.0,5.972,-63.506,0.4,5.972,-63.8679,0.3,5.956,-67.3832,0.1,5.968,-64.337,0.1,5.964,-65.5769,0.1,5.968,-64.152,0.1,5.956,-63.4734,0.3,5.972,-63.045,,,-60.9404,0.1,5.964,-62.832
0.1,5.964,-67.971,-0.1,5.972,-67.3176,0.2,5.976,-71.351,-0.4,5.976,-67.1863,0.1,5.972,-68.334,0.0,5.972,-63.9337,0.0,5.972,-63.561,0.4,5.968,-63.9666,0.4,5.964,-67.6787,0.1,5.968,-64.392,0.2,5.972,-65.6098,0.1,5.964,-64.173,0.2,5.96,-63.5062,0.2,5.972,-63.078,0.2,5.956,-60.9732,0.3,5.968,-62.865
0.4,5.96,-69.693,0.3,5.972,-67.4161,0.2,5.976,-71.384,-0.1,5.98,-67.2847,0.2,5.976,-68.389,0.2,5.972,-63.9666,0.2,5.972,-64.163,0.3,5.968,-64.0323,0.2,5.96,-67.7115,0.2,5.968,-64.381,-0.1,5.968,-65.6425,-0.2,5.964,-64.163,0.2,5.956,-63.572,0.2,5.972,-63.089,0.4,5.96,-61.039,0.1,5.968,-63.391
0.2,5.964,-69.792,0.2,5.972,-67.3832,0.0,5.976,-71.45,-0.2,5.976,-67.3176,0.1,5.976,-68.454,0.2,5.972,-64.098,0.0,5.972,-64.24,0.0,5.972,-64.0652,0.4,5.964,-67.7115,0.3,5.972,-64.436,0.0,5.968,-65.6754,0.4,5.968,-64.217,,,-63.9993,0.2,5.972,-63.144,0.3,5.956,-61.039,0.0,5.968,-63.424
0.3,5.964,-69.841,0.0,5.968,-67.4161,0.1,5.972,-71.471,0.2,5.976,-67.4161,0.1,5.972,-68.476,0.1,5.972,-64.1309,0.1,5.972,-64.306,0.4,5.972,-64.1309,0.3,5.96,-67.7444,-0.2,5.968,-64.852,0.3,5.972,-65.7083,0.3,5.968,-64.228,0.2,5.956,-64.0323,0.0,5.972,-63.166,0.2,5.956,-61.1378,0.2,5.964,-63.457
0.4,5.964,-69.923,0.1,5.972,-67.5146,-0.1,5.976,-71.526,0.3,5.976,-67.3832,0.2,5.972,-68.531,0.3,5.968,-64.1967,0.2,5.976,-64.383,0.3,5.976,-64.1967,0.4,5.964,-67.7444,0.2,5.968,-64.896,0.0,5.972,-65.7083,0.1,5.968,-64.25,0.1,5.956,-64.0652,0.2,5.976,-63.188,0.1,5.956,-61.1378,0.0,5.964,-63.473
0.2,5.964,-69.939,-0.2,5.972,-67.5802,0.2,5.976,-71.548,-0.1,5.98,-67.4161,0.3,5.976,-68.553,0.1,5.972,-64.2624,0.0,5.976,-64.448,0.3,5.972,-65.0183,0.3,5.96,-67.7444,-0.1,5.968,-64.885,-0.1,5.972,-66.1025,0.1,5.968,-64.272,-0.1,5.956,-64.098,0.2,5.972,-63.21,0.2,5.96,-61.2036,0.2,5.964,-63.49
-0.1,5.964,-69.988,0.0,5.968,-67.613,-0.1,5.972,-71.581,0.0,5.98,-67.4817,-0.1,5.972,-68.618,0.4,5.972,-64.328,-0.1,5.972,-64.514,0.0,5.972,-65.084,0.2,5.964,-67.81,0.2,5.968,-64.918,0.2,5.968,-66.1353,0.2,5.968,-64.316,-0.1,5.96,-64.1309,0.2,5.976,-63.703,,,-61.9604,0.0,5.964,-63.522
0.1,5.968,-70.054,0.0,5.976,-67.6787,0.1,5.976,-71.592,-0.1,5.98,-67.4817,0.2,5.972,-69.187,0.0,5.972,-66.0368,0.0,5.972,-65.39,0.3,5.972,-65.1169,0.3,5.964,-67.81,0.1,5.968,-64.918,0.0,5.972,-66.1353,0.1,5.964,-64.349,0.0,5.956,-64.1637,0.2,5.972,-63.736,0.3,5.956,-62.0261,0.2,5.968,-63.572
0.2,5.964,-70.087,0.1,5.976,-67.7444,-0.1,5.972,-71.657,-0.1,5.976,-67.5474,-0.1,5.976,-69.264,0.0,5.972,-66.1353,0.1,5.972,-65.445,0.0,5.972,-65.1826,0.3,5.96,-67.81,0.1,5.964,-64.951,0.0,5.968,-66.1682,0.2,5.968,-64.382,-0.1,5.956,-64.1967,0.3,5.976,-63.758,0.2,5.956,-62.0591,0.2,5.968,-63.588
