Timestamp,Timestamp,Cell 1 Current,Cell 1 Voltage,Cell 1 Temp,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temp,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temp,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temp,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
09-27-2025-Sat 12-00-14-PM,09-27-2025-Sat 12-00-14-PM,76.6,5.628,11.22,98.7,5.628,14.8246,91.7,5.628,13.376,91.9,5.668,14.5552,87.7,5.6,13.634,93.6,5.64,15.4995,89.6,5.592,14.398,89.9,5.592,15.4995,76.8,5.62,7.61588,91.3,5.62,11.062,83.6,5.628,10.7469,87.3,5.664,12.05,80.1,5.592,10.8477,85.8,5.648,12.847,86.1,5.58,12.1951,72.8,5.588,13.847
09-27-2025-Sat 12-00-16-PM,09-27-2025-Sat 12-00-16-PM,76.2,5.632,11.103,98.2,5.628,14.7238,91.3,5.628,13.297,91.6,5.672,14.4206,87.8,5.604,13.601,93.9,5.64,15.4656,89.4,5.596,14.342,89.9,5.592,15.3309,76.6,5.62,7.48122,91.4,5.62,10.984,83.5,5.628,10.7469,87.3,5.66,12.028,79.8,5.592,10.9154,85.7,5.652,12.87,86.1,5.58,12.229,72.5,5.588,13.78
09-27-2025-Sat 12-00-19-PM,09-27-2025-Sat 12-00-19-PM,75.8,5.632,10.984,97.9,5.628,14.656,91.3,5.628,13.207,91.3,5.672,14.3867,87.8,5.604,13.477,93.6,5.64,15.3309,89.3,5.592,14.241,89.6,5.592,15.2293,76.4,5.624,7.31269,91.0,5.624,10.849,83.7,5.624,10.5784,86.8,5.664,11.893,79.6,5.592,10.713,85.4,5.652,12.735,86.0,5.584,12.162,72.6,5.588,13.696
09-27-2025-Sat 12-01-57-PM,09-27-2025-Sat 12-01-57-PM,73.8,5.616,7.701,97.4,5.612,11.3863,91.8,5.616,10.006,91.4,5.652,11.4202,86.7,5.588,10.523,91.3,5.628,12.4313,89.1,5.58,11.32,87.6,5.58,11.9935,71.4,5.616,4.01638,85.8,5.616,7.538,76.1,5.62,7.2119,83.1,5.656,8.783,76.4,5.588,7.71667,80.6,5.64,9.894,83.6,5.576,9.53416,69.6,5.584,10.764
09-27-2025-Sat 12-02-00-PM,09-27-2025-Sat 12-02-00-PM,72.1,5.624,7.618,95.7,5.62,11.3533,89.7,5.624,9.928,89.6,5.66,11.3863,85.7,5.6,10.433,90.3,5.632,12.3636,87.8,5.592,11.252,85.8,5.584,11.8919,70.5,5.624,3.88253,85.6,5.624,7.426,76.4,5.624,7.04338,82.9,5.66,8.659,75.3,5.592,7.54815,80.4,5.648,9.804,82.4,5.584,9.50029,68.9,5.588,10.696
09-27-2025-Sat 12-02-02-PM,09-27-2025-Sat 12-02-02-PM,71.1,5.62,7.567,94.0,5.616,11.3194,88.2,5.62,9.905,88.5,5.66,11.3194,85.2,5.596,10.366,89.6,5.632,12.3975,87.2,5.588,11.219,84.7,5.584,11.9596,70.1,5.62,3.81479,84.8,5.62,7.404,76.8,5.624,7.07724,82.5,5.66,8.592,74.7,5.596,7.38043,79.8,5.644,9.692,81.9,5.584,9.29871,67.8,5.588,10.629
09-27-2025-Sat 12-02-04-PM,09-27-2025-Sat 12-02-04-PM,70.3,5.624,7.483,93.0,5.62,11.1847,87.5,5.62,9.838,87.8,5.656,11.3194,84.6,5.592,10.309,89.0,5.628,12.3636,86.3,5.588,11.207,84.1,5.584,11.9596,69.4,5.62,3.78173,84.2,5.62,7.325,76.6,5.62,7.00951,82.3,5.656,8.525,74.2,5.592,7.24496,79.3,5.644,9.636,81.0,5.58,9.29871,67.3,5.588,10.629
09-27-2025-Sat 12-02-07-PM,09-27-2025-Sat 12-02-07-PM,69.9,5.628,7.483,92.8,5.624,11.2186,86.9,5.624,9.816,86.9,5.664,11.2855,84.2,5.6,10.377,88.5,5.632,12.3636,85.9,5.592,11.095,83.7,5.592,11.825,69.1,5.62,3.74787,84.3,5.624,7.303,76.4,5.628,6.94258,82.1,5.664,8.57,73.7,5.596,7.48122,79.3,5.648,9.647,80.7,5.584,9.09632,67.3,5.588,10.461
09-27-2025-Sat 12-02-09-PM,09-27-2025-Sat 12-02-09-PM,69.4,5.628,7.432,92.0,5.628,11.117,86.2,5.628,9.726,86.6,5.672,11.1847,83.9,5.604,10.332,88.0,5.636,12.2967,85.2,5.596,10.994,83.4,5.592,11.6895,68.7,5.624,3.74787,83.7,5.624,7.247,76.9,5.628,6.87566,82.0,5.664,8.525,73.3,5.596,7.51428,79.3,5.652,9.602,80.4,5.588,8.99553,66.2,5.592,10.343
09-27-2025-Sat 12-02-12-PM,09-27-2025-Sat 12-02-12-PM,69.1,5.636,7.365,91.6,5.632,11.117,85.7,5.632,9.692,85.9,5.672,11.1509,83.8,5.608,10.164,87.9,5.64,12.162,85.0,5.596,11.05,83.0,5.596,11.7572,68.6,5.624,3.61321,83.9,5.628,7.179,77.0,5.632,6.80793,81.6,5.664,8.379,72.0,5.604,7.17804,79.1,5.656,9.524,79.9,5.592,9.23178,66.5,5.6,10.494
