timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-09T15:29:59,Index:336, DAC1:6497, 19.08PPM, DAC2:11586, 34.61PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:30:00,Index:337, DAC1:6657, 19.57PPM, DAC2:11554, 34.51PPM, DAC3:560.00, 0.96PPM
2025-12-09T15:30:01,Index:338, DAC1:6497, 19.08PPM, DAC2:11394, 34.02PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:30:02,Index:339, DAC1:6801, 20.01PPM, DAC2:11346, 33.88PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:30:57,Index:340, DAC1:7041, 20.74PPM, DAC2:11410, 34.07PPM, DAC3:528.00, 0.86PPM
2025-12-09T15:30:58,Index:341, DAC1:7169, 21.13PPM, DAC2:11362, 33.92PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:30:59,Index:396, DAC1:6449, 18.93PPM, DAC2:11330, 33.83PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:31:00,Index:397, DAC1:5825, 17.03PPM, DAC2:11394, 34.02PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:31:01,Index:398, DAC1:6177, 18.10PPM, DAC2:11394, 34.02PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:31:02,Index:399, DAC1:6545, 19.22PPM, DAC2:11362, 33.92PPM, DAC3:352.00, 0.32PPM
2025-12-09T15:31:03,Index:400, DAC1:6849, 20.15PPM, DAC2:11522, 34.41PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:31:04,Index:401, DAC1:6433, 18.88PPM, DAC2:11570, 34.56PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:31:05,Index:402, DAC1:6721, 19.76PPM, DAC2:11426, 34.12PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:31:06,Index:403, DAC1:6785, 19.96PPM, DAC2:11186, 33.39PPM, DAC3:512.00, 0.81PPM
2025-12-09T15:31:07,Index:404, DAC1:6625, 19.47PPM, DAC2:11362, 33.92PPM, DAC3:512.00, 0.81PPM
2025-12-09T15:31:08,Index:405, DAC1:6033, 17.66PPM, DAC2:11282, 33.68PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:31:09,Index:406, DAC1:6545, 19.22PPM, DAC2:11346, 33.88PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:31:10,Index:407, DAC1:6705, 19.71PPM, DAC2:11410, 34.07PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:31:11,Index:408, DAC1:6337, 18.59PPM, DAC2:11602, 34.66PPM, DAC3:352.00, 0.32PPM
2025-12-09T15:31:12,Index:409, DAC1:6753, 19.86PPM, DAC2:11554, 34.51PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:31:13,Index:410, DAC1:6433, 18.88PPM, DAC2:11570, 34.56PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:31:14,Index:411, DAC1:6593, 19.37PPM, DAC2:11554, 34.51PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:31:15,Index:412, DAC1:6593, 19.37PPM, DAC2:11362, 33.92PPM, DAC3:512.00, 0.81PPM
2025-12-09T15:31:16,Index:413, DAC1:6257, 18.35PPM, DAC2:11314, 33.78PPM, DAC3:432.00, 0.57PPM
2025-12-09T15:31:17,Index:414, DAC1:6593, 19.37PPM, DAC2:11346, 33.88PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:31:18,Index:415, DAC1:7361, 21.71PPM, DAC2:11394, 34.02PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:31:19,Index:416, DAC1:6961, 20.49PPM, DAC2:11442, 34.17PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:31:20,Index:417, DAC1:6913, 20.35PPM, DAC2:11570, 34.56PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:31:21,Index:418, DAC1:7297, 21.52PPM, DAC2:11554, 34.51PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:31:22,Index:419, DAC1:7073, 20.84PPM, DAC2:11602, 34.66PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:31:23,Index:420, DAC1:6849, 20.15PPM, DAC2:11202, 33.44PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:31:24,Index:421, DAC1:6881, 20.25PPM, DAC2:11346, 33.88PPM, DAC3:432.00, 0.57PPM
2025-12-09T15:31:25,Index:422, DAC1:6993, 20.59PPM, DAC2:11346, 33.88PPM, DAC3:432.00, 0.57PPM
2025-12-09T15:31:26,Index:423, DAC1:6865, 20.20PPM, DAC2:11330, 33.83PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:31:27,Index:424, DAC1:7601, 22.45PPM, DAC2:11362, 33.92PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:31:28,Index:425, DAC1:6929, 20.40PPM, DAC2:11570, 34.56PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:31:29,Index:426, DAC1:6817, 20.05PPM, DAC2:11570, 34.56PPM, DAC3:544.00, 0.91PPM
2025-12-09T15:31:30,Index:427, DAC1:7121, 20.98PPM, DAC2:11554, 34.51PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:31:31,Index:428, DAC1:6881, 20.25PPM, DAC2:11458, 34.22PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:31:32,Index:429, DAC1:7265, 21.42PPM, DAC2:11314, 33.78PPM, DAC3:432.00, 0.57PPM
2025-12-09T15:31:33,Index:430, DAC1:7185, 21.18PPM, DAC2:11330, 33.83PPM, DAC3:512.00, 0.81PPM
2025-12-09T15:31:34,Index:431, DAC1:7249, 21.37PPM, DAC2:11346, 33.88PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:31:35,Index:432, DAC1:7185, 21.18PPM, DAC2:11490, 34.32PPM, DAC3:512.00, 0.81PPM
2025-12-09T15:31:36,Index:433, DAC1:7905, 23.37PPM, DAC2:11586, 34.61PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:31:37,Index:434, DAC1:7841, 23.18PPM, DAC2:11714, 35.00PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:31:38,Index:435, DAC1:7857, 23.23PPM, DAC2:11586, 34.61PPM, DAC3:480.00, 0.71PPM
