timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-07T17:47:16,Index:547, DAC1:448, 0.62PPM, DAC2:11234, 33.53PPM, DAC3:352.00, 0.32PPM
2025-12-07T17:47:17,Index:548, DAC1:432, 0.57PPM, DAC2:11282, 33.68PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:47:18,Index:549, DAC1:416, 0.52PPM, DAC2:11282, 33.68PPM, DAC3:384.00, 0.42PPM
2025-12-07T17:47:19,Index:550, DAC1:400, 0.47PPM, DAC2:11298, 33.73PPM, DAC3:384.00, 0.42PPM
2025-12-07T17:47:20,Index:551, DAC1:432, 0.57PPM, DAC2:11314, 33.78PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:47:21,Index:552, DAC1:352, 0.32PPM, DAC2:11314, 33.78PPM, DAC3:512.00, 0.81PPM
2025-12-07T17:47:22,Index:553, DAC1:416, 0.52PPM, DAC2:11282, 33.68PPM, DAC3:480.00, 0.71PPM
2025-12-07T17:47:23,Index:554, DAC1:384, 0.42PPM, DAC2:11314, 33.78PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:47:24,Index:555, DAC1:480, 0.71PPM, DAC2:11266, 33.63PPM, DAC3:336.00, 0.28PPM
2025-12-07T17:47:25,Index:556, DAC1:448, 0.62PPM, DAC2:11298, 33.73PPM, DAC3:352.00, 0.32PPM
2025-12-07T17:47:26,Index:557, DAC1:416, 0.52PPM, DAC2:11314, 33.78PPM, DAC3:384.00, 0.42PPM
2025-12-07T17:47:27,Index:558, DAC1:416, 0.52PPM, DAC2:11298, 33.73PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:47:28,Index:559, DAC1:464, 0.67PPM, DAC2:11314, 33.78PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:47:29,Index:560, DAC1:464, 0.67PPM, DAC2:11314, 33.78PPM, DAC3:384.00, 0.42PPM
2025-12-07T17:47:30,Index:561, DAC1:416, 0.52PPM, DAC2:11314, 33.78PPM, DAC3:496.00, 0.76PPM
2025-12-07T17:47:31,Index:562, DAC1:416, 0.52PPM, DAC2:11298, 33.73PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:47:32,Index:563, DAC1:416, 0.52PPM, DAC2:11234, 33.53PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:47:33,Index:564, DAC1:448, 0.62PPM, DAC2:11266, 33.63PPM, DAC3:384.00, 0.42PPM
2025-12-07T17:47:34,Index:565, DAC1:384, 0.42PPM, DAC2:11314, 33.78PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:47:35,Index:566, DAC1:400, 0.47PPM, DAC2:11298, 33.73PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:47:36,Index:567, DAC1:448, 0.62PPM, DAC2:11298, 33.73PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:47:37,Index:568, DAC1:416, 0.52PPM, DAC2:11298, 33.73PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:47:38,Index:569, DAC1:416, 0.52PPM, DAC2:11266, 33.63PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:47:39,Index:570, DAC1:352, 0.32PPM, DAC2:11218, 33.49PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:47:40,Index:571, DAC1:448, 0.62PPM, DAC2:11234, 33.53PPM, DAC3:352.00, 0.32PPM
2025-12-07T17:47:41,Index:572, DAC1:432, 0.57PPM, DAC2:11266, 33.63PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:47:42,Index:573, DAC1:448, 0.62PPM, DAC2:11314, 33.78PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:47:43,Index:574, DAC1:416, 0.52PPM, DAC2:11298, 33.73PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:47:44,Index:575, DAC1:448, 0.62PPM, DAC2:11330, 33.83PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:47:45,Index:576, DAC1:448, 0.62PPM, DAC2:11314, 33.78PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:47:46,Index:577, DAC1:432, 0.57PPM, DAC2:11314, 33.78PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:47:47,Index:578, DAC1:400, 0.47PPM, DAC2:11266, 33.63PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:47:48,Index:579, DAC1:432, 0.57PPM, DAC2:11266, 33.63PPM, DAC3:528.00, 0.86PPM
2025-12-07T17:47:49,Index:580, DAC1:400, 0.47PPM, DAC2:11266, 33.63PPM, DAC3:352.00, 0.32PPM
2025-12-07T17:47:50,Index:581, DAC1:416, 0.52PPM, DAC2:11266, 33.63PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:47:51,Index:582, DAC1:384, 0.42PPM, DAC2:11266, 33.63PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:47:52,Index:583, DAC1:448, 0.62PPM, DAC2:11298, 33.73PPM, DAC3:432.00, 0.57PPM
