Timestamp,DNEpct Cell 1 Temp,DNEpct Cell 3 Temp,DNEpct Cell 5 Temp,DNEpct Cell 7 Temp,35pct Cell 10 Temp,35pct Cell 12 Temp,30pct Cell 14 Temp,30pct Cell 16 Temp
09-05-2025-Fri 16-42-07-PM,11.758,13.679,15.263,14.983,11.556,13.432,14.432,14.151
09-05-2025-Fri 16-42-12-PM,11.758,13.69,15.23,14.836,11.556,13.443,14.331,13.999
09-05-2025-Fri 16-42-16-PM,11.675,13.623,15.219,14.758,11.477,13.387,14.297,13.847
09-05-2025-Fri 16-42-19-PM,11.607,13.544,15.129,14.679,11.41,13.308,14.218,13.779
09-05-2025-Fri 16-42-22-PM,11.59,13.533,15.106,14.634,11.387,13.285,14.184,13.729
09-05-2025-Fri 16-42-26-PM,11.573,13.488,15.05,14.601,11.365,13.229,14.151,13.696
09-05-2025-Fri 16-42-29-PM,11.455,13.421,15.005,14.51,11.275,13.196,14.084,13.594
09-05-2025-Fri 16-42-32-PM,11.421,13.353,14.971,14.477,11.23,13.139,14.049,13.544
09-05-2025-Fri 16-42-34-PM,11.354,13.319,14.926,14.432,11.186,13.117,14.016,13.51
09-05-2025-Fri 16-42-36-PM,11.338,13.331,14.926,14.409,11.163,13.117,13.993,13.493
09-05-2025-Fri 16-42-39-PM,11.321,13.286,14.881,14.387,11.141,13.061,13.971,13.459
09-05-2025-Fri 16-42-41-PM,11.253,13.218,14.847,14.342,11.073,13.016,13.937,13.409
09-05-2025-Fri 16-42-43-PM,11.236,13.184,14.803,14.285,11.062,12.982,13.892,13.341
09-05-2025-Fri 16-42-46-PM,11.186,13.139,14.769,14.252,11.005,12.937,13.859,13.308
09-05-2025-Fri 16-42-48-PM,11.135,13.106,14.746,14.207,10.961,12.915,13.825,13.257
09-05-2025-Fri 16-42-51-PM,11.084,13.05,14.712,14.185,10.916,12.881,13.802,13.24
09-05-2025-Fri 16-42-53-PM,11.102,13.05,14.69,14.162,10.916,12.847,13.791,13.207
09-05-2025-Fri 16-42-55-PM,11.102,13.05,14.679,14.117,10.916,12.847,13.769,13.156
09-05-2025-Fri 16-42-58-PM,11.051,12.993,14.611,14.072,10.871,12.791,13.713,13.123
09-05-2025-Fri 16-43-00-PM,11.034,12.971,14.6,14.061,10.837,12.758,13.701,13.106
09-05-2025-Fri 16-43-02-PM,11.001,12.949,14.567,14.027,10.815,12.735,13.679,13.072
09-05-2025-Fri 16-43-05-PM,10.95,12.87,14.51,13.982,10.759,12.679,13.634,13.038
09-05-2025-Fri 16-43-07-PM,10.95,12.904,14.51,13.949,10.759,12.69,13.6,13.005
09-05-2025-Fri 16-43-09-PM,10.865,12.814,14.578,14.084,10.691,12.69,13.802,13.122
09-05-2025-Fri 16-43-12-PM,10.882,12.814,14.499,13.971,10.691,12.657,13.667,13.038
09-05-2025-Fri 16-43-14-PM,10.849,12.769,14.454,14.005,10.657,12.589,13.667,13.072
09-05-2025-Fri 16-43-17-PM,10.865,12.769,14.409,13.858,10.669,12.578,13.544,12.903
09-05-2025-Fri 16-43-19-PM,10.798,12.712,14.375,13.814,10.601,12.533,13.51,12.853
09-05-2025-Fri 16-43-21-PM,10.765,12.69,14.364,13.78,10.579,12.533,13.488,12.819
09-05-2025-Fri 16-43-24-PM,10.781,12.701,14.33,13.746,10.579,12.499,13.454,12.785
09-05-2025-Fri 16-43-26-PM,10.748,12.634,14.263,13.701,10.545,12.432,13.409,12.735
09-05-2025-Fri 16-43-28-PM,10.68,12.6,14.274,13.678,10.489,12.443,13.398,12.718
09-05-2025-Fri 16-43-31-PM,10.647,12.589,14.252,13.645,10.467,12.432,13.365,12.685
09-05-2025-Fri 16-43-33-PM,10.63,12.567,14.218,13.611,10.445,12.398,13.33,12.65
09-05-2025-Fri 16-43-35-PM,10.613,12.544,14.184,13.589,10.433,12.364,13.297,12.617
09-05-2025-Fri 16-43-38-PM,10.579,12.488,14.128,13.555,10.399,12.319,13.274,12.6
09-05-2025-Fri 16-43-40-PM,10.562,12.476,14.128,13.51,10.365,12.308,13.252,12.549
09-05-2025-Fri 16-43-43-PM,10.495,12.409,14.072,13.476,10.321,12.263,13.218,12.516
09-05-2025-Fri 16-43-45-PM,10.478,12.375,14.027,13.443,10.298,12.218,13.184,12.482
09-05-2025-Fri 16-43-47-PM,10.428,12.387,14.038,13.42,10.264,12.241,13.162,12.465
09-05-2025-Fri 16-43-50-PM,10.394,12.319,13.993,13.387,10.231,12.196,13.14,12.431
09-05-2025-Fri 16-43-52-PM,10.394,12.308,13.96,13.364,10.22,12.162,13.117,12.415
09-05-2025-Fri 16-43-54-PM,10.377,12.319,13.959,13.308,10.197,12.162,13.072,12.347
09-05-2025-Fri 16-43-57-PM,10.377,12.263,13.903,13.319,10.186,12.095,13.072,12.364
09-05-2025-Fri 16-44-00-PM,10.293,12.241,13.914,13.263,10.13,12.117,13.038,12.297
09-05-2025-Fri 16-44-04-PM,10.276,12.196,13.847,13.229,10.107,12.05,12.993,12.263
09-05-2025-Fri 16-44-07-PM,10.226,12.14,13.802,13.173,10.051,12.005,12.949,12.212
09-05-2025-Fri 16-44-09-PM,10.209,12.106,13.757,13.128,10.029,11.96,12.915,12.162
09-05-2025-Fri 16-44-12-PM,10.141,12.05,13.723,13.106,9.984,11.926,12.892,12.128
09-05-2025-Fri 16-44-14-PM,10.108,12.05,13.735,13.083,9.95,11.937,12.881,12.111
09-05-2025-Fri 16-44-17-PM,10.091,11.982,13.667,13.061,9.928,11.87,12.858,12.094
09-05-2025-Fri 16-44-19-PM,10.057,11.96,13.645,13.016,9.905,11.859,12.825,12.044
09-05-2025-Fri 16-44-21-PM,10.091,12.005,13.645,12.982,9.917,11.859,12.78,12.01
09-05-2025-Fri 16-44-24-PM,9.973,11.903,13.588,12.96,9.827,11.802,12.757,11.994
09-05-2025-Fri 16-44-26-PM,9.922,11.87,13.577,12.937,9.793,11.802,12.735,11.977
09-05-2025-Fri 16-44-29-PM,9.922,11.859,13.555,12.903,9.782,11.769,12.724,11.926
09-05-2025-Fri 16-44-31-PM,9.889,11.791,13.488,12.881,9.759,11.713,12.69,11.909
09-05-2025-Fri 16-44-34-PM,9.923,11.825,13.499,12.858,9.76,11.713,12.667,11.892
09-05-2025-Fri 16-44-36-PM,9.822,11.758,13.476,12.825,9.692,11.69,12.645,11.842
09-05-2025-Fri 16-44-38-PM,9.838,11.746,13.431,12.791,9.703,11.668,12.623,11.825
09-05-2025-Fri 16-44-41-PM,9.805,11.713,13.398,12.757,9.67,11.634,12.589,11.791
09-05-2025-Fri 16-44-43-PM,9.821,11.735,13.386,12.724,9.669,11.612,12.555,11.74
09-05-2025-Fri 16-44-46-PM,9.754,11.701,13.364,12.701,9.624,11.6,12.533,11.724
09-05-2025-Fri 16-44-48-PM,9.703,11.623,13.319,12.667,9.58,11.567,12.51,11.707
09-05-2025-Fri 16-44-51-PM,9.67,11.601,13.296,12.656,9.546,11.533,12.488,11.69
09-05-2025-Fri 16-44-53-PM,9.687,11.567,13.252,12.634,9.546,11.488,12.465,11.673
09-05-2025-Fri 16-44-55-PM,9.653,11.589,13.274,12.6,9.524,11.511,12.443,11.623
09-05-2025-Fri 16-44-58-PM,9.636,11.5,13.173,12.566,9.501,11.421,12.409,11.606
09-05-2025-Fri 16-45-00-PM,9.62,11.522,13.184,12.555,9.49,11.444,12.398,11.606
09-05-2025-Fri 16-45-03-PM,9.535,11.454,13.162,12.499,9.423,11.421,12.353,11.538
09-05-2025-Fri 16-45-05-PM,9.552,11.466,13.151,12.499,9.434,11.409,12.364,11.538
