Cell 1 Current,Cell 1 Voltage,Cell 1 Temp,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temp,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temp,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temp,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
,,,,,,,,,,,,,,,,,,,,,,,,-0.1,5.904,-69.9099,0.2,5.912,-63.9,0.1,5.908,-65.971,0.3,5.908,-64.777,-0.1,5.904,-70.0084,0.4,5.916,-73.821,0.1,5.904,-72.4343,0.0,5.912,-72.746
,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.9,-69.9756,0.3,5.912,-64.525,0.1,5.912,-65.971,0.1,5.908,-64.974,0.0,5.904,-70.0084,0.1,5.916,-73.854,-0.2,5.904,-73.5808,0.3,5.908,-72.762
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.904,-70.4019,0.1,5.908,-64.547,0.0,5.912,-66.0039,0.2,5.908,-64.974,-0.1,5.904,-70.5987,0.3,5.916,-74.519,0.1,5.908,-73.5808,0.1,5.912,-72.795
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.904,-70.4675,0.1,5.912,-64.558,0.2,5.912,-66.4309,0.1,5.908,-64.996,0.2,5.904,-70.6315,0.0,5.92,-74.552,0.0,5.904,-73.6136,0.4,5.912,-73.908
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.904,-70.5331,0.2,5.912,-64.941,0.1,5.908,-66.4309,0.4,5.908,-65.007,0.1,5.904,-70.6643,0.0,5.92,-74.552,-0.2,5.908,-73.6463,0.1,5.912,-73.925
,,,,,,,,,,,,,,,,,,,,,,,,-0.1,5.9,-70.5659,0.3,5.908,-64.974,0.1,5.908,-66.4309,0.2,5.908,-65.04,0.1,5.904,-70.697,0.0,5.916,-74.563,0.1,5.904,-73.6463,0.2,5.912,-73.957
,,,,,,,,,,,,,,,,,,,,,,,,0.5,5.904,-70.5987,0.2,5.908,-64.985,0.4,5.912,-66.4637,0.2,5.908,-65.051,0.2,5.904,-70.7298,0.2,5.92,-74.585,0.1,5.908,-73.679,0.0,5.912,-73.974
,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.904,-70.6643,0.1,5.908,-65.007,0.1,5.908,-66.4637,0.1,5.904,-65.347,0.0,5.904,-71.7132,0.2,5.92,-75.709,0.2,5.908,-73.7118,-0.2,5.912,-74.006
,,,,,,,,,,,,,,,,,,,,,,,,0.4,5.904,-70.7298,0.0,5.912,-65.007,-0.2,5.908,-66.6279,0.2,5.908,-65.401,0.1,5.908,-71.7132,0.2,5.92,-75.752,-0.1,5.904,-73.7446,0.1,5.908,-74.023
,,,,,,,,,,,,,,,,,,,,,,,,0.2,5.904,-71.3854,0.0,5.908,-65.062,0.4,5.912,-66.6279,0.1,5.908,-65.412,-0.2,5.908,-71.7461,-0.2,5.92,-77.42,0.0,5.904,-74.3339,0.0,5.908,-74.072
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.904,-71.3854,0.1,5.908,-65.598,0.2,5.912,-66.6609,0.0,5.912,-65.401,0.2,5.904,-71.7789,-0.1,5.92,-77.431,0.1,5.904,-74.3339,0.1,5.912,-74.088
,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.904,-71.4183,0.3,5.908,-65.927,0.6,5.908,-66.6609,0.0,5.908,-65.456,0.1,5.908,-71.8116,-0.2,5.92,-77.475,-0.1,5.904,-74.3667,-0.1,5.908,-74.71
,,,,,,,,,,,,,,,,,,,,,,,,-0.1,5.904,-71.4183,0.2,5.908,-65.927,0.1,5.908,-66.6609,0.2,5.912,-66.19,0.0,5.908,-71.8116,0.2,5.916,-77.497,0.2,5.908,-74.3994,0.1,5.912,-74.727
,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.904,-71.4511,0.2,5.912,-65.872,0.2,5.916,-66.6937,-0.1,5.908,-66.244,-0.2,5.904,-71.8771,0.0,5.92,-77.508,0.1,5.904,-74.3667,0.2,5.912,-74.76
,,,,,,,,,,,,,,,,,,,,,,,,0.2,5.904,-71.4839,0.1,5.912,-65.905,0.1,5.908,-66.9564,0.1,5.908,-66.288,0.2,5.904,-71.8771,0.0,5.92,-78.26,0.2,5.904,-74.7596,0.0,5.912,-74.776
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.9,-71.5167,0.1,5.912,-65.949,0.1,5.912,-66.9564,-0.1,5.908,-66.332,0.2,5.904,-72.5325,0.1,5.916,-78.27,0.2,5.908,-74.7923,-0.1,5.912,-74.776
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.904,-71.5167,0.1,5.912,-65.971,0.1,5.908,-66.9892,0.3,5.912,-66.376,0.1,5.904,-72.5325,-0.1,5.916,-78.281,0.0,5.908,-74.825,-0.1,5.908,-75.185
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.904,-72.1721,0.1,5.912,-66.398,0.1,5.912,-66.9564,0.1,5.908,-66.628,0.2,5.904,-72.5653,0.2,5.92,-78.336,0.0,5.908,-74.825,0.3,5.912,-75.218
